School Name,City,Country,URL
Bendigo South East College,Bendigo,Australia,
Brighton Primary School,Brighton,Australia,
Brisbane Grammar School,Brisbane,Australia,
Cairns State High School,Cairns,Australia,
Canberra Grammar School,Canberra,Australia,
Caroline Springs College,Melbourne,Australia,
Charles Campbell College,Paradise,Australia,
Christ Church Grammar School,Perth,Australia,
Cleveland District State High School,Cleveland,Australia,
Concordia Lutheran College,Queensland,Australia,
Cooloola Christian College,Gympie,Australia,
Craigslea State High School,Chermside West,Australia,
De La Salle College,Melbourne,Australia,
Department of Education Tasmania,Hobart,Australia,
Essendon North Primary School,North Essendon,Australia,
German International School Sydney,Sydney,Australia,
German International School Sydney (GISS),,Australia,
Glenunga International High School,,Australia,
Hills International College Ltd,,Australia,
Indooroopilly State High School,Indooroopilly,Australia,
International School of Western Australia,,Australia,
Ivanhoe Grammar School,Ivanhoe,Australia,
Kambrya College,Victoria,Australia,
Kardinia International College,,Australia,
Kirwan State High School,Kirwan,Australia,
Kormilda College,Darwin,Australia,
Malvern Primary School,Victoria,Australia,
Marist College Canberra,Canberra,Australia,
McKinnon Secondary College,McKinnon,Australia,
Mentone Girls' Grammar School,Mentone,Australia,
Mercedes College,Adelaide,Australia,
Merrimac State High School,Gold Coast,Australia,
"Methodist Ladies' College, Western Australia",Claremont,Australia,
Montessori International College,,Australia,
Mountain Creek State High School,Mountain Creek,Australia,
Newington College,Sydney,Australia,
Norwood Morialta High School,Adelaide,Australia,
Our Lady of the Nativity,Melbourne,Australia,
Peninsula Grammar,Victoria,Australia,
Pimlico State High School,Townsville,Australia,
Playford International College,Adelaide,Australia,
Queensland Academies,Queensland,Australia,
Redlands,Sydney,Australia,
Seaview High School,Adelaide,Australia,
Shalom College,Bundaberg,Australia,
St Michael's Collegiate School,Hobart,Australia,
The Kilmore International School,,Australia,
Thomas Mitchell Primary School,Endeavour Hills,Australia,
Werribee Secondary College,Melbourne,Australia,
Whitefriars College,Melbourne,Australia,
Woodcroft College,Adelaide,Australia,
Woodville High School,St Clair,Australia,
AMADEUS International School Vienna,,Austria,
American International School Vienna,Vienna,Austria,
Anton Bruckner International School,,Austria,
BG GIBS Graz International Bilingual School,,Austria,
Campus Wien West,Vienna,Austria,
Danube International School,,Austria,
Danube International School Vienna,Vienna,Austria,
Gymnasium Klosterneuburg International School,Vienna,Austria,
HEUREKA! Montessori Schule Mauer,Vienna,Austria,
International School Innsbruck,,Austria,
International School Kufstein Tirol,,Austria,
Meridian Bilingual Primary School,Vienna,Austria,
SALIS - Salzburg International School,,Austria,
St. Gilgen International School GmbH,,Austria,
The American International School Vienna,Vienna,Austria,
Vienna Elementary School,Vienna,Austria,
Vienna International School,Vienna,Austria,
Azerbaijan British College,Baku,Azerbaijan,
Baku Modern School,Baku,Azerbaijan,
Baku Talents Education Complex,Baku,Azerbaijan,
Baku-Oxford School,Baku,Azerbaijan,
European Azerbaijan School,Baku,Azerbaijan,
Lycée Francais de Bakou,Baku,Azerbaijan,
MTK International School,Baku,Azerbaijan,
SABIS Sun International School,Baku,Azerbaijan,
The European Azerbaijan School,Baku,Azerbaijan,
Lucaya International School,,Bahamas,
Lyford Cay International School,,Bahamas,
St Andrew's International School,Nassau,Bahamas,
St Andrew's School The International School of The Bahamas,Nassau,Bahamas,
Windsor High School,Nassau,Bahamas,
Windsor School,Nassau,Bahamas,
"AMA International School, Bahrain",Manama,Bahrain,
Abdul Rahman Kanoo International School,Manama,Bahrain,
Al Hekma International School,Adliya,Bahrain,
Al Hekma International School Bahrain,Manama,Bahrain,
Al Mahd Day Boarding School,Manama,Bahrain,
Al Noor International School,Manama,Bahrain,
Al Rawabi Private School,Manama,Bahrain,
Al Wisam School,Manama,Bahrain,
American School of Bahrain,Manama,Bahrain,
Arabian Pearl Gulf School,Manama,Bahrain,
Bahrain Indian School,Manama,Bahrain,
Beacon Private School,Manama,Bahrain,
British School of Bahrain,Manama,Bahrain,
Capital School Bahrain,Manama,Bahrain,
City International School,Manama,Bahrain,
Hawar International School,Manama,Bahrain,
Ibn Khuldoon National School,Manama,Bahrain,
Kidz World Kindergarten,Adliya,Bahrain,
Modern Knowledge School,Manama,Bahrain,
Multinational School Bahrain,Manama,Bahrain,
Nadeen School,Manama,Bahrain,
New Generation Private School,Manama,Bahrain,
Riffa Views International School,Manama,Bahrain,
Sacred Heart School,Manama,Bahrain,
Shaikha Hessa Girls' School,Manama,Bahrain,
Talent International & The Infant School,Riffa,Bahrain,
Talent International School,Manama,Bahrain,
The Asian School,Manama,Bahrain,
The Bahrain Bayan School,Manama,Bahrain,
The Eastern School,Manama,Bahrain,
The International School of Choueifat - Manama,Manama,Bahrain,
The International School of Choueifat – Manama,Manama,Bahrain,
AUSTRALIAN INTERNATIONAL SCHOOL DHAKA,,Bangladesh,
Abdul Kadir Molla International School,,Bangladesh,
American International School Dhaka,,Bangladesh,
American Standard International School,,Bangladesh,
Canadian International Institute Dhaka,Dhaka,Bangladesh,
Crans-Montana International School,,Bangladesh,
International School Dhaka,,Bangladesh,
Pledge Harbor International School,,Bangladesh,
Royal Institute of Smart Education (RISE),Sylhet,Bangladesh,
"The Codrington School, The International School of Barbados",St John,Barbados,
"The Codrington School, The International School of Barbados.",,Barbados,
The International School of Barbados,Saint John,Barbados,
Agnes School,Brussels,Belgium,
Antwerp International School VZW,Ekeren,Belgium,
BEPS - Brussels,Brussels,Belgium,
British International School of Brussels,Brussels,Belgium,
Brussels International Catholic School (BICS),Brussels,Belgium,
Da Vinci International School Antwerp,Antwerp,Belgium,
Ecole Internationale Montgomery - bilingual school,,Belgium,
European School of Bruxelles-Argenteuil,Brussels,Belgium,
French International School of Brussels,Brussels,Belgium,
ISF Waterloo International School,Brussels,Belgium,
International Montessori Schools,Brussels,Belgium,
International School of Belgium,Antwerp,Belgium,
International School of Brussels,,Belgium,
International School of Flanders,Rhode Saint Genese,Belgium,
Montessori Bilingual School La Cambre,Brussels,Belgium,
Roots and Wings School,Brussels,Belgium,
St John's International School,Waterloo,Belgium,
The British International School of Brussels,Brussels,Belgium,
The British School of Brussels,Brussels,Belgium,
The Courtyard International School of Tervuren,Brussels,Belgium,
The International School of Brussels,Brussels,Belgium,
Mount Saint Agnes Academy,Hamilton,Bermuda,
Saltus Grammar School,Hamilton,Bermuda,
The Bermuda High School For Girls,Pembroke,Bermuda,
The Chatmore British International School,Smith,Bermuda,
Warwick Academy,Hamilton,Bermuda,
American Cooperative School,La Paz,Bolivia,
Cochabamba Cooperative School,Cochabamba,Bolivia,
Highlands International School,La Paz,Bolivia,
Santa Cruz Cooperative School,Santa Cruz,Bolivia,
The American International School of Bolivia,Cochabamba,Bolivia,
Gaborone International School,Gaborone,Botswana,
Kgaswe International School,Palapye,Botswana,
Northside School,Gaborone,Botswana,
Westwood International School,,Botswana,
American School of Belo Horizonte,Belo Horizonte,Brazil,
American School of Brasilia,Brasilia,Brazil,
American School of Brasilia (EAB),,Brazil,
American School of Campinas,Campinas,Brazil,
American School of Recife,Recife,Brazil,
American School of Sao Paulo,Sao Paulo,Brazil,
Aubrick School,Sao Paulo,Brazil,
Avenues Sao Paulo,Sao Paulo,Brazil,
Beacon School,Sao Paulo,Brazil,
Brasilia International School,Brasilia,Brazil,
Builders Bilingual School,Sao Paulo,Brazil,
Chapel School,Sao Paulo,Brazil,
Chapel School (Escola Maria Imaculada),Sao Paulo,Brazil,
Colegio Humboldt - Deutsche Schule Sao Paulo,Sao Paulo,Brazil,
Coree International School,,Brazil,
Deutsche Schule Rio de Janeiro,Rio de Janeiro,Brazil,
Escola Americana De Campinas,Campinas,Brazil,
Escola Americana de Vitoria,VitÃ³ria,Brazil,
Escola Americana do Rio de Janeiro,Rio de Janeiro,Brazil,
Escola Beit Yaacov,Sao Paulo,Brazil,
Escola Internacional de Alphaville,Sao Paulo,Brazil,
Escole Internacional de Alphaville,Barueri,Brazil,
GIS - The International School of SÃ£o Paulo,Sao Paulo,Brazil,
Global Me Bilingual School,Sao Paulo,Brazil,
Graded - The American School of Sao Paulo,Sao Paulo,Brazil,
Graded - The American School of SÃ£o Paulo,Sao Paulo,Brazil,
Gurilandia International School,,Brazil,
International School of Curitiba,,Brazil,
Lycée Moliére,Rio de Janeiro,Brazil,
Lycée Pasteur de Sao Paulo,Sao Paulo,Brazil,
Maple Bear Canadian School,Sao Paulo,Brazil,
Our Lady of Mercy School,Rio de Janeiro,Brazil,
Pan American Christian Academy,Sao Paulo,Brazil,
Pan American School of Bahia,,Brazil,
PlayPen Escola Cidade Jardim,Sao Paulo,Brazil,
Pueri Domus Bilingual School,Sao Paulo,Brazil,
RED HOUSE INTERNATIONAL SCHOOL,,Brazil,
Red House International School,Sao Paulo,Brazil,
Rio International School,Rio de Janeiro,Brazil,
SABISÂ® International School – Campinas,Campinas,Brazil,
SIS Swiss International School Brasilia,,Brazil,
SIS Swiss International Schools do Brasil,,Brazil,
Sant' Anna American International School,Sao Paulo,Brazil,
"School of the Nations, Brazil",Brasilia,Brazil,
Schweizerschule Sao Paulo,Sao Paulo,Brazil,
St Nicholas' School Alphaville Campus,Santana de ParnaÃ­ba,Brazil,
St Nicholas' School Pinheiros Campus,Sao Paulo,Brazil,
St Paul's School,Sao Paulo,Brazil,
St. John's International School,Sao Paulo,Brazil,
St. Nicholas School,Sao Paulo,Brazil,
St. Paul's School,Sao Paulo,Brazil,
The Amazon Valley Academy,Belem,Brazil,
The American School of Belo Horizonte,,Brazil,
The British College of Brazil,Sao Paulo,Brazil,
The British School,Rio de Janeiro,Brazil,
The British School of Brasilia,Brasilia,Brazil,
"The British School, Rio de Janeiro",Rio de Janeiro,Brazil,
The International School of Sao Paulo,Sao Paulo,Brazil,
The Pan American School of Porto Alegre,Porto Alegre,Brazil,
Tip Toe Discovery School,Sao Paulo,Brazil,
be.Living School,Sao Paulo,Brazil,
Cedar International School,,British Virgin Islands,
Hornbill School Brunei,,Brunei,
International School Brunei,,Brunei,
International School of Brunei,,Brunei,
Jerudong International School,,Brunei,
Jerudong International School Brunei,,Brunei,
Seri Mulia Sarjana International School,Bandar Seri Begawan,Brunei,
American English Academy,Sofia,Bulgaria,
Anglo American School of Sofia,Sofia,Bulgaria,
British International School Classic,,Bulgaria,
Deutsche Schule Sofia,Sofia,Bulgaria,
International School Uwekind,Sofia,Bulgaria,
Lycée Français de Sofia,Sofia,Bulgaria,
Meridian 22 High School,Sofia,Bulgaria,
St George International School & Preschool,Sofia,Bulgaria,
The American College of Sofia,Sofia,Bulgaria,
Uwekind International School,,Bulgaria,
Enko Ouaga International School,,Burkina Faso,
International School of Ouagadougou,,Burkina Faso,
Advanced Stamford International School,Phnom Penh,Cambodia,
Albert International Academy,Phnom Penh,Cambodia,
American Global Prep School,Phnom Penh,Cambodia,
American Pacific International School,Phnom Penh,Cambodia,
Asia-Pacific Fredfort International School,Phnom Penh,Cambodia,
Asian Hope International School,Phnom Penh,Cambodia,
Australian International School Phnom Penh,Phnom Penh,Cambodia,
Bamboo International School,Phnom Penh,Cambodia,
Bambujaya Bilingual School,Phnom Penh,Cambodia,
Bluebird British International School,Phnom Penh,Cambodia,
CIA First International School,Phnom Penh,Cambodia,
Canadian International School of Phnom Penh,Phnom Penh,Cambodia,
ELT Elementary and Secondary School,Phnom Penh,Cambodia,
East-West International School,Phnom Penh,Cambodia,
First International Cambodian-American School,Phnom Penh,Cambodia,
Footprints International School,Phnom Penh,Cambodia,
Forest Hill International School,Phnom Penh,Cambodia,
French International School,Phnom Penh,Cambodia,
GloLink International School Phnom Penh,Phnom Penh,Cambodia,
Golden Bridge International School of Phnom Penh,Phnom Penh,Cambodia,
Golden Gate American School,Phnom Penh,Cambodia,
Grand Mount International School,Phnom Penh,Cambodia,
Harrods International Academy,Phnom Penh,Cambodia,
Heritage International School,Phnom Penh,Cambodia,
Hope International School,Phnom Penh,Cambodia,
ISPP - International School of Phnom Penh,Phnom Penh,Cambodia,
ISS International Academy,Phnom Penh,Cambodia,
International School of Phnom Penh,Phnom Penh,Cambodia,
Invictus International School Phnom Penh,Phnom Penh,Cambodia,
Learning Jungle School,Phnom Penh,Cambodia,
Liberty International School,Phnom Penh,Cambodia,
Logos International School,Phnom Penh,Cambodia,
Lycée Francais René Descartes,Phnom Penh,Cambodia,
M-TEL International School,Phnom Penh,Cambodia,
New Gateway International School,Phnom Penh,Cambodia,
Phnom Penh Montessori International School,Phnom Penh,Cambodia,
Singapore Cambodia International Academy,Phnom Penh,Cambodia,
Southbridge International School Cambodia,Phnom Penh,Cambodia,
Texas International Academy,Phnom Penh,Cambodia,
The British International School of Phnom Penh,Phnom Penh,Cambodia,
The Giving Tree,Phnom Penh,Cambodia,
Tree House International School,Siem Reap,Cambodia,
True Visions Cambodia,Phnom Penh,Cambodia,
USA International School,Phnom Penh,Cambodia,
Westview Cambodian International School,Phnom Penh,Cambodia,
World International School Cambodia,Phnom Penh,Cambodia,
iLEAD International School,Phnom Penh,Cambodia,
American School of Douala,Douala,Cameroon,
American School of Yaounde,,Cameroon,
Enko La Gaieté International School.,,Cameroon,
The American School of YaoundÃ©,Yaounde,Cameroon,
Academie Laurentienne,Quebec,Canada,
Académie Ste. Cécile International School,,Canada,
Ashbury College,Ontario,Canada,
Bayview Glen,Toronto,Canada,
Bishop's College School,Quebec,Canada,
Blyth Academy,Toronto,Canada,
Blyth Academy Burlington,Toronto,Canada,
Blyth Academy Downsview Park,Toronto,Canada,
Blyth Academy Etobicoke,Toronto,Canada,
Blyth Academy Lawrence Park,Toronto,Canada,
Blyth Academy Mississauga,Toronto,Canada,
Blyth Academy Whitby,Toronto,Canada,
Blyth Academy Yorkville,Toronto,Canada,
Branksome Hall,Toronto,Canada,
Brockton School,Vancouver,Canada,
Bronte College,Toronto,Canada,
Brookes Westshore,Victoria,Canada,
Calgary French and International School,,Canada,
Canada's International School (Toronto French School),Toronto,Canada,
Centennial Academy,Montreal,Canada,
Clinton International College,Toronto,Canada,
Collingwood School,Vancouver,Canada,
Courtland Park International School,,Canada,
Cousteau L'Ecole Francaise Internationale de Vancouver,North Vancouver,Canada,
Ecole internationale Guy-Drummond,,Canada,
English Bluff Elementary,,Canada,
German International School Toronto,Toronto,Canada,
Glenlyon Norfolk School,British Columbia,Canada,
Keystone International School,Toronto,Canada,
Keystone International Secondary School,Toronto,Canada,
London International Academy,,Canada,
Lycée Francais Toronto,Toronto,Canada,
MacKenzie Academy,Toronto,Canada,
Marymount Academy,Montreal,Canada,
Marymount Academy International,,Canada,
McDonald International Academy,Toronto,Canada,
Meadowridge School,British Columbia,Canada,
Metropolitan Preparatory Academy,Toronto,Canada,
Mulgrave School,Vancouver,Canada,
"Mulgrave, The International School of Vancouver",West Vancouver,Canada,
NOIC ACADEMY,Toronto,Canada,
Pearson College UWC of the Pacific,Victoria,Canada,
Ridley College,St Catherines,Canada,
Royal Crown Academic School,Toronto,Canada,
Saint-Lambert International,,Canada,
Shawnigan Lake School,Shawnigan,Canada,
Southpointe Academy,British Columbia,Canada,
Southridge School,British Columbia,Canada,
St. John's-Kilmarnock School,Ottawa,Canada,
Stratford Hall,British Columbia,Canada,
Sunnybrook School,Toronto,Canada,
TAIE International Institute,Toronto,Canada,
TFS Canada's International School,Toronto,Canada,
The Giles School,Toronto,Canada,
The York School,Toronto,Canada,
Unisus International School Ltd,,Canada,
Unisus School,British Columbia,Canada,
Upper Canada College,Toronto,Canada,
Walden International School,,Canada,
Walden International School Oakville,Toronto,Canada,
École  Internationale du Village,,Canada,
École Internationale Des Apprenants,,Canada,
École d'éducation internationale,,Canada,
École d'éducation internationale Notre-Dame-des-Neiges,,Canada,
École internationale Lucille-Teasdale,,Canada,
École internationale Saint-François-Xavier,,Canada,
École internationale de Montréal,,Canada,
École internationale de Saint-Sacrement,,Canada,
École internationale du Phare,,Canada,
École internationale primaire de Greenfield Park,,Canada,
École primaire d'éducation internationale,,Canada,
École primaire d'éducation internationale - Secteur Est,,Canada,
Cayman International School,,Cayman Islands,
Cayman Prep & High School,Georgetown,Cayman Islands,
Bradford School,Santiago,Chile,
Caernarfon College,Casablanca,Chile,
Chartwell International School,Santiago de Chile,Chile,
Craighouse,Santiago,Chile,
Craighouse School,Santiago de Chile,Chile,
Deutsche Schule Sankt Thomas Morus,Santiago de Chile,Chile,
Deutsche Schule Santiago,Santiago de Chile,Chile,
Dunalastair Schools,Santiago de Chile,Chile,
International School Nido de Aguilas,,Chile,
International School of Nido de Aguilas,Santiago,Chile,
Lincoln International Academy,Santiago de Chile,Chile,
Lycée Antoine de Saint-Exupéry,Santiago de Chile,Chile,
SEK Chile International School,Santiago de Chile,Chile,
Saint John's School,ConcepciÃ³n,Chile,
Santiago Christian Academy,Santiago de Chile,Chile,
Santiago College,Santiago de Chile,Chile,
Schweizer Schule Santiago,Santiago de Chile,Chile,
Scuola Italiana Vittorio Montiglio,Santiago de Chile,Chile,
St George's School,Santiago,Chile,
St. Margaret's British School for Girls,,Chile,
The Antofagasta British School,,Chile,
The Grange School,Santiago de Chile,Chile,
The International Preparatory School,Santiago de Chile,Chile,
The International School Nido de Aguilas,Santiago de Chile,Chile,
The Mayflower school,Santiago,Chile,
3e International School,Beijing,China,
Abbey DLD Suzhou,Suzhou,China,
Access International Academy Ningbo,,China,
Adcote School Shanghai,Shanghai,China,
Alcanta International College,Guangzhou,China,
American International School,Hong Kong,China,
American International School of Guangzhou,Guangzhou,China,
Anfield School,Hong Kong,China,
Australian International School Hong Kong,Hong Kong,China,
Avenues Shenzhen,Shenzhen,China,
BASIS International School Guangzhou,Guangzhou,China,
BASIS International School Hangzhou,Hangzhou,China,
BASIS International School Shenzhen,Shenzhen,China,
BIK Hefei,Hefei,China,
Beacon Hill School,Hong Kong,China,
Beanstalk International Bilingual School,Beijing,China,
Beanstalk International Bilingual School - Shunyi Campus,,China,
Beanstalk International Bilingual School Chengdu Campus,,China,
Beanstalk International Bilingual School Haidian Academy,Beijing,China,
Beanstalk International Bilingual School Kunming,,China,
Beanstalk International Bilingual School Upper East Side Campus,,China,
Beijing Academy,Beijing,China,
Beijing Aidi School,Beijing,China,
Beijing BISS International School,Beijing,China,
Beijing City International School,Beijing,China,
Beijing City International School (BCIS),,China,
Beijing Haidian International School,,China,
Beijing Huijia Private School,Beijing,China,
Beijing National Day School International Department,Beijing,China,
Beijing New Talent Academy,Beijing,China,
Beijing Royal School,Beijing,China,
Beijing SMIC Private School English Track,Beijing,China,
Beijing World Youth Academy,Beijing,China,
Blossom Montessori,Beijing,China,
Bradbury School,Hong Kong,China,
Britannia International School Guangzhou,Guangzhou,China,
"Britannica International School, Shanghai",Shanghai,China,
British School of Guangzhou,Guangzhou,China,
Bromsgrove School Mission Hills,Shenzhen,China,
Bubble Kingdom International Kindergarten,,China,
Buena Vista Concordia International School,Shenzhen,China,
California School,Hong Kong,China,
Canada British Columbia International Schools,Chengdu,China,
Canadian International School Kunshan,Shanghai,China,
Canadian International School of Beijing,Beijing,China,
Canadian International School of Guangzhou,Guangzhou,China,
Canadian International School of Hefei,,China,
Canadian International School of Hong Kong,Hong Kong,China,
Canadian International School of Shenyang,,China,
Carmel School,Hong Kong,China,
Changchun American International School,,China,
Changjun High School International Department,,China,
Changsha WES Academy,Changsha,China,
Chenshan School,Huangshan City,China,
China World Academy,Jiangsu,China,
Christian Alliance International School,Hong Kong,China,
Clearwater Bay School,Hong Kong,China,
Clifford International School,Guangzhou,China,
Concordia International School,Hong Kong,China,
Concordia International School Shanghai,Shanghai,China,
Creative Secondary School,Hong Kong,China,
DTD Education Shanghai,Shanghai,China,
Dalian American International School,,China,
Dalton School Hong Kong,Hong Kong,China,
Daystar Academy,Beijing,China,
Dehong Shanghai International Chinese School,Shanghai,China,
Delia School of Canada,Hong Kong,China,
Deutsche Schule Shanghai,Shanghai,China,
Diocesan Boys' School,Hong Kong,China,
Discovery College,Hong Kong,China,
Dulwich College Beijing,Beijing,China,
Dulwich College Shanghai Pudong,Shanghai,China,
Dulwich College Shanghai Puxi,Shanghai,China,
Dulwich College Suzhou,Shanghai,China,
Dulwich International High School Suzhou,Suzhou,China,
ENMA International Education,Beijing,China,
EtonHouse International School Dongguan,Guangzhou,China,
EtonHouse International School Foshan,Guangzhou,China,
EtonHouse International School Nanjing,,China,
EtonHouse International School Suzhou,Shanghai,China,
EtonHouse International School Times Residence Chengdu,,China,
EtonHouse International School and Pre-School,Dalian,China,
Fettes College Guangzhou,Guangzhou,China,
Forest House Waldorf School,Hong Kong,China,
French International School of Hong Kong,Hong Kong,China,
Fudan International School,Shanghai,China,
German Swiss International School,Hong Kong,China,
Glenealy School,Hong Kong,China,
Golden Apple International Preschool and Kindergarten,,China,
Golden Apple Tianfu International Preschool and Kindergarten,,China,
Guangzhou Grace Academy,Guangzhou,China,
Guangzhou International Primary School Baiyun ZWIE,,China,
Guangzhou International Primary School Huangpu ZWIE,,China,
Guangzhou Nanfang International School,Guangzhou,China,
Guiyang Huaxi Country Garden International School,,China,
HD Beijing School,Beijing,China,
HKCA Po Leung Kuk School Hong Kong,Hong Kong,China,
Hangzhou Chinese International School,Hangzhou,China,
Hangzhou Entel Foreign Language School,Hangzhou,China,
Hangzhou Foreign Languages School,Hangzhou,China,
Hangzhou Greentown Yuhua School,Hangzhou,China,
Hangzhou International School,Hangzhou,China,
Hangzhou Wickham International School,,China,
Harrow Beijing,Beijing,China,
Harrow International School Beijing,,China,
Harrow International School Hong Kong,Hong Kong,China,
Harrow International School Shanghai,Shanghai,China,
Hong Kong Academy,Hong Kong,China,
Hong Kong Adventist Academy,Hong Kong,China,
Hong Kong International School,Hong Kong,China,
Hong Qiao International School,Shanghai,China,
Hope International School,Beijing,China,
House of Knowledge,Beijing,China,
Huamei International School,Guangzhou,China,
Hyde Academy,Beijing,China,
ISA LiWan International School,Tianhe,China,https://inteachers.net/school/isa-guangzhou-west-international-school
ISA Science City International School,Guangdong,China,https://inteachers.net/school/isa-international-school-of-guangzhou
ISA Tianhe International School,Guangzhou,China,https://inteachers.net/school/isa-international-school-of-guangzhou-zhujiang-new-town-campus
ISA Wuhan International School,Wuhan,China,https://inteachers.net/school/isa-wuhan-international-school
Innova Academy,Beijing,China,
International Christian School,Hong Kong,China,
International College Hong Kong,Hong Kong,China,
International School of Beijing,Beijing,China,
International School of Nanshan Shenzhen,Shenzhen,China,
International School of Qingdao,,China,
International School of Tianjin,,China,
Invictus School Hong Kong,Hong Kong,China,
Island Christian Academy,Hong Kong,China,
Island School,Hong Kong,China,
Island Waldorf School,Hong Kong,China,
JKFZ Cambridge International School,Nanchang,China,
"Japanese International School, Hong Kong",Hong Kong,China,
Jiaxiang International High School,,China,
Jockey Club Sarah Roe School,Hong Kong,China,
Joy El International Academy,Beijing,China,
KIS International School In Shenzhen,Shenzhen,China,
Kaiwen Academy,Beijing,China,
Kang Chiao International School East China,,China,
Kellett School,Hong Kong,China,
Kellett School Hong kong,,China,
Kennedy School,Hong Kong,China,
Keystone Academy,Beijing,China,
King George V School,Hong Kong,China,
Kingston International School,Hong Kong,China,
Kowloon Junior School,Hong Kong,China,
Kunming International Academy,,China,
Lantau International School,Hong Kong,China,
Leman International School,Chengdu,China,
Li Po Chun United World College of Hong Kong,Hong Kong,China,
Lucton School Shanghai,Shanghai,China,
Lycée Francais International Charles de Gaulle de Pékin,Beijing,China,
Lycée Francais de Shanghai,Shanghai,China,
Léman International School,,China,
Malvern College Qingdao,Qingdao,China,
Manila Xiamen International School,,China,
Maple Leaf International School Shanghai,Shanghai,China,
Maple Leaf International School Shenzhen,Shenzhen,China,
Meisha Academy by Haileybury,Guangzhou,China,
Merchiston International School,Shenzhen,China,
Mount Kelly School Hong Kong,Hong Kong,China,
Nanchang International School,,China,
Nanjing International School,,China,
Nansha College Preparatory Academy,,China,
Nantong Stalford International School,,China,
New Oriental Academy,Beijing,China,
Ningbo Huamao International School,,China,
Nord Anglia Chinese International School,Shanghai,China,
Nord Anglia Chinese International School (NACIS),,China,
Nord Anglia International School Guangzhou,Guangzhou,China,
Nord Anglia International School Shanghai Pudong,,China,
"Nord Anglia International School Shanghai, Pudong",Shanghai,China,
Norwegian International School,Hong Kong,China,
Oriental Cambridge Ben Xi International School,,China,
Oriental English Collegeï¼ŒShenzhen,,China,
"Oxstand International School, Shenzhen",,China,
Peak School,Hong Kong,China,
Phoenix City International School,,China,
Po Leung Kuk Choi Kai Yau School,Hong Kong,China,
QSI International School of Dongguan,Guangzhou,China,
QSI International School of Shenzhen,Shenzhen,China,
Qingdao Amerasia International School,,China,
Quarry Bay School,Hong Kong,China,
RDF International School,Shenzhen,China,
Renaissance College,Hong Kong,China,
Rosebud Primary School,Hong Kong,China,
SNU-K International Department,,China,
Saint Paul American School,Beijing,China,
Sha Tin College,Hong Kong,China,
Sha Tin Junior School,Hong Kong,China,
Shanghai American School,Shanghai,China,
Shanghai American School (Pudong Campus),,China,
Shanghai Community International School,Shanghai,China,
Shanghai Community International School – Pudong Campus,,China,
Shanghai Concord Bilingual School,Shanghai,China,
